date_key,day_num,month_num,month_name,quarter_num,year_num,week_num,weekday_name
2016-12-23,23,12,December,4,2016,51,Friday
2016-12-24,24,12,December,4,2016,51,Saturday
2016-12-25,25,12,December,4,2016,51,Sunday
2016-12-26,26,12,December,4,2016,52,Monday
2016-12-27,27,12,December,4,2016,52,Tuesday
2016-12-28,28,12,December,4,2016,52,Wednesday
2016-12-29,29,12,December,4,2016,52,Thursday
2016-12-30,30,12,December,4,2016,52,Friday
2016-12-31,31,12,December,4,2016,52,Saturday
2017-01-01,1,1,January,1,2017,52,Sunday
2017-01-02,2,1,January,1,2017,1,Monday
2017-01-03,3,1,January,1,2017,1,Tuesday
2017-01-04,4,1,January,1,2017,1,Wednesday
2017-01-05,5,1,January,1,2017,1,Thursday
2017-01-06,6,1,January,1,2017,1,Friday
2017-01-07,7,1,January,1,2017,1,Saturday
2017-01-08,8,1,January,1,2017,1,Sunday
2017-01-09,9,1,January,1,2017,2,Monday
2017-01-10,10,1,January,1,2017,2,Tuesday
2017-01-11,11,1,January,1,2017,2,Wednesday
2017-01-12,12,1,January,1,2017,2,Thursday
2017-01-13,13,1,January,1,2017,2,Friday
2017-01-14,14,1,January,1,2017,2,Saturday
2017-01-15,15,1,January,1,2017,2,Sunday
2017-01-16,16,1,January,1,2017,3,Monday
2017-01-17,17,1,January,1,2017,3,Tuesday
2017-01-18,18,1,January,1,2017,3,Wednesday
2017-01-19,19,1,January,1,2017,3,Thursday
2017-01-20,20,1,January,1,2017,3,Friday
2017-01-21,21,1,January,1,2017,3,Saturday
2017-01-22,22,1,January,1,2017,3,Sunday
2017-01-23,23,1,January,1,2017,4,Monday
2017-01-24,24,1,January,1,2017,4,Tuesday
2017-01-25,25,1,January,1,2017,4,Wednesday
2017-01-26,26,1,January,1,2017,4,Thursday
2017-01-27,27,1,January,1,2017,4,Friday
2017-01-28,28,1,January,1,2017,4,Saturday
2017-01-29,29,1,January,1,2017,4,Sunday
2017-01-30,30,1,January,1,2017,5,Monday
2017-01-31,31,1,January,1,2017,5,Tuesday
2017-02-01,1,2,February,1,2017,5,Wednesday
2017-02-02,2,2,February,1,2017,5,Thursday
2017-02-03,3,2,February,1,2017,5,Friday
2017-02-04,4,2,February,1,2017,5,Saturday
2017-02-05,5,2,February,1,2017,5,Sunday
2017-02-06,6,2,February,1,2017,6,Monday
2017-02-07,7,2,February,1,2017,6,Tuesday
2017-02-08,8,2,February,1,2017,6,Wednesday
2017-02-09,9,2,February,1,2017,6,Thursday
2017-02-10,10,2,February,1,2017,6,Friday
2017-02-11,11,2,February,1,2017,6,Saturday
2017-02-12,12,2,February,1,2017,6,Sunday
2017-02-13,13,2,February,1,2017,7,Monday
2017-02-14,14,2,February,1,2017,7,Tuesday
2017-02-15,15,2,February,1,2017,7,Wednesday
2017-02-16,16,2,February,1,2017,7,Thursday
2017-02-17,17,2,February,1,2017,7,Friday
2017-02-18,18,2,February,1,2017,7,Saturday
2017-02-19,19,2,February,1,2017,7,Sunday
2017-02-20,20,2,February,1,2017,8,Monday
2017-02-21,21,2,February,1,2017,8,Tuesday
2017-02-22,22,2,February,1,2017,8,Wednesday
2017-02-23,23,2,February,1,2017,8,Thursday
2017-02-24,24,2,February,1,2017,8,Friday
2017-02-25,25,2,February,1,2017,8,Saturday
2017-02-26,26,2,February,1,2017,8,Sunday
2017-02-27,27,2,February,1,2017,9,Monday
2017-02-28,28,2,February,1,2017,9,Tuesday
2017-03-01,1,3,March,1,2017,9,Wednesday
2017-03-02,2,3,March,1,2017,9,Thursday
2017-03-03,3,3,March,1,2017,9,Friday
2017-03-04,4,3,March,1,2017,9,Saturday
2017-03-05,5,3,March,1,2017,9,Sunday
2017-03-06,6,3,March,1,2017,10,Monday
2017-03-07,7,3,March,1,2017,10,Tuesday
2017-03-08,8,3,March,1,2017,10,Wednesday
2017-03-09,9,3,March,1,2017,10,Thursday
2017-03-10,10,3,March,1,2017,10,Friday
2017-03-11,11,3,March,1,2017,10,Saturday
2017-03-12,12,3,March,1,2017,10,Sunday
2017-03-13,13,3,March,1,2017,11,Monday
2017-03-14,14,3,March,1,2017,11,Tuesday
2017-03-15,15,3,March,1,2017,11,Wednesday
2017-03-16,16,3,March,1,2017,11,Thursday
2017-03-17,17,3,March,1,2017,11,Friday
2017-03-18,18,3,March,1,2017,11,Saturday
2017-03-19,19,3,March,1,2017,11,Sunday
2017-03-20,20,3,March,1,2017,12,Monday
2017-03-21,21,3,March,1,2017,12,Tuesday
2017-03-22,22,3,March,1,2017,12,Wednesday
2017-03-23,23,3,March,1,2017,12,Thursday
2017-03-24,24,3,March,1,2017,12,Friday
2017-03-25,25,3,March,1,2017,12,Saturday
2017-03-26,26,3,March,1,2017,12,Sunday
2017-03-27,27,3,March,1,2017,13,Monday
2017-03-28,28,3,March,1,2017,13,Tuesday
2017-03-29,29,3,March,1,2017,13,Wednesday
2017-03-30,30,3,March,1,2017,13,Thursday
2017-03-31,31,3,March,1,2017,13,Friday
2017-04-01,1,4,April,2,2017,13,Saturday
2017-04-02,2,4,April,2,2017,13,Sunday
2017-04-03,3,4,April,2,2017,14,Monday
2017-04-04,4,4,April,2,2017,14,Tuesday
2017-04-05,5,4,April,2,2017,14,Wednesday
2017-04-06,6,4,April,2,2017,14,Thursday
2017-04-07,7,4,April,2,2017,14,Friday
2017-04-08,8,4,April,2,2017,14,Saturday
2017-04-09,9,4,April,2,2017,14,Sunday
2017-04-10,10,4,April,2,2017,15,Monday
2017-04-11,11,4,April,2,2017,15,Tuesday
2017-04-12,12,4,April,2,2017,15,Wednesday
2017-04-13,13,4,April,2,2017,15,Thursday
2017-04-14,14,4,April,2,2017,15,Friday
2017-04-15,15,4,April,2,2017,15,Saturday
2017-04-16,16,4,April,2,2017,15,Sunday
2017-04-17,17,4,April,2,2017,16,Monday
2017-04-18,18,4,April,2,2017,16,Tuesday
2017-04-19,19,4,April,2,2017,16,Wednesday
2017-04-20,20,4,April,2,2017,16,Thursday
2017-04-21,21,4,April,2,2017,16,Friday
2017-04-22,22,4,April,2,2017,16,Saturday
2017-04-23,23,4,April,2,2017,16,Sunday
2017-04-24,24,4,April,2,2017,17,Monday
2017-04-25,25,4,April,2,2017,17,Tuesday
2017-04-26,26,4,April,2,2017,17,Wednesday
2017-04-27,27,4,April,2,2017,17,Thursday
2017-04-28,28,4,April,2,2017,17,Friday
2017-04-29,29,4,April,2,2017,17,Saturday
2017-04-30,30,4,April,2,2017,17,Sunday
2017-05-01,1,5,May,2,2017,18,Monday
2017-05-02,2,5,May,2,2017,18,Tuesday
2017-05-03,3,5,May,2,2017,18,Wednesday
2017-05-04,4,5,May,2,2017,18,Thursday
2017-05-05,5,5,May,2,2017,18,Friday
2017-05-06,6,5,May,2,2017,18,Saturday
2017-05-07,7,5,May,2,2017,18,Sunday
2017-05-08,8,5,May,2,2017,19,Monday
2017-05-09,9,5,May,2,2017,19,Tuesday
2017-05-10,10,5,May,2,2017,19,Wednesday
2017-05-11,11,5,May,2,2017,19,Thursday
2017-05-12,12,5,May,2,2017,19,Friday
2017-05-13,13,5,May,2,2017,19,Saturday
2017-05-14,14,5,May,2,2017,19,Sunday
2017-05-15,15,5,May,2,2017,20,Monday
2017-05-16,16,5,May,2,2017,20,Tuesday
2017-05-17,17,5,May,2,2017,20,Wednesday
2017-05-18,18,5,May,2,2017,20,Thursday
2017-05-19,19,5,May,2,2017,20,Friday
2017-05-20,20,5,May,2,2017,20,Saturday
2017-05-21,21,5,May,2,2017,20,Sunday
2017-05-22,22,5,May,2,2017,21,Monday
2017-05-23,23,5,May,2,2017,21,Tuesday
2017-05-24,24,5,May,2,2017,21,Wednesday
2017-05-25,25,5,May,2,2017,21,Thursday
2017-05-26,26,5,May,2,2017,21,Friday
2017-05-27,27,5,May,2,2017,21,Saturday
2017-05-28,28,5,May,2,2017,21,Sunday
2017-05-29,29,5,May,2,2017,22,Monday
2017-05-30,30,5,May,2,2017,22,Tuesday
2017-05-31,31,5,May,2,2017,22,Wednesday
2017-06-01,1,6,June,2,2017,22,Thursday
2017-06-02,2,6,June,2,2017,22,Friday
2017-06-03,3,6,June,2,2017,22,Saturday
2017-06-04,4,6,June,2,2017,22,Sunday
2017-06-05,5,6,June,2,2017,23,Monday
2017-06-06,6,6,June,2,2017,23,Tuesday
2017-06-07,7,6,June,2,2017,23,Wednesday
2017-06-08,8,6,June,2,2017,23,Thursday
2017-06-09,9,6,June,2,2017,23,Friday
2017-06-10,10,6,June,2,2017,23,Saturday
2017-06-11,11,6,June,2,2017,23,Sunday
2017-06-12,12,6,June,2,2017,24,Monday
2017-06-13,13,6,June,2,2017,24,Tuesday
2017-06-14,14,6,June,2,2017,24,Wednesday
2017-06-15,15,6,June,2,2017,24,Thursday
2017-06-16,16,6,June,2,2017,24,Friday
2017-06-17,17,6,June,2,2017,24,Saturday
2017-06-18,18,6,June,2,2017,24,Sunday
2017-06-19,19,6,June,2,2017,25,Monday
2017-06-20,20,6,June,2,2017,25,Tuesday
2017-06-21,21,6,June,2,2017,25,Wednesday
2017-06-22,22,6,June,2,2017,25,Thursday
2017-06-23,23,6,June,2,2017,25,Friday
2017-06-24,24,6,June,2,2017,25,Saturday
2017-06-25,25,6,June,2,2017,25,Sunday
2017-06-26,26,6,June,2,2017,26,Monday
2017-06-27,27,6,June,2,2017,26,Tuesday
2017-06-28,28,6,June,2,2017,26,Wednesday
2017-06-29,29,6,June,2,2017,26,Thursday
